Date,Team,Block,Plot,Treatment,Region,Transect,Distance,Hits,Notes,SpeciesCode,Type,Status,LifeForm,Volunteer,SciName,NativeStatus,CommonName,AltSciName,Plant_Family
2020-04-29,"MP, JC",1,1,E,X,1,1,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,1,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,1,1.5,1,"IF AMOUNT NOT NOTED, # HITS = 1",L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,1.5,1,NA,ENCCAL,Plant,Alive,Shrub,NA,Encelia californica,Native,Bush sunflower,.,Asteraceae
2020-04-29,"MP, JC",1,1,E,X,1,1.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,1.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,2,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,2,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,1,2,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,2.5,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,2.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,2.5,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,1,3,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,3,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,3,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,1,3.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,3.5,1,NA,BROHOR,Plant,Alive,Grass,NA,Bromus hordeaceus,Non-Native,soft chess brome,.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,3.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,4,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,4,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,4.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,4.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,4.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,4.5,1,NA,EROCIC,Plant,Alive,Forb,NA,Erodium cicutarium,Non-Native,red stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,1,5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,1,5,1,NA,ENCCAL,Plant,Dead,Shrub,NA,Encelia californica,Native,Bush sunflower,.,Asteraceae
2020-04-29,"MP, JC",1,1,E,X,1,5,1,NA,AVEFAT,Plant,Alive,Grass,NA,Avena fatua,Non-Native,wild oat,.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,1,5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,1,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,1.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,1.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,2,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,2,1,NA,EROCIC,Plant,Alive,Forb,NA,Erodium cicutarium,Non-Native,red stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,2,2.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,2.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,2.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,3,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,3,1,NA,BROHOR,Plant,Alive,Grass,NA,Bromus hordeaceus,Non-Native,soft chess brome,.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,3,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,3,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,2,3.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,3.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,3.5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,2,4,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,4,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,4,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,2,4.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,4.5,1,NA,EROCIC,Plant,Alive,Forb,NA,Erodium cicutarium,Non-Native,red stem filaree,.,Geraniaceae
